ɂah,snowshoe
k'eɂets'eeht'à,cut (patterns); cut up (things)
k'eɂets'eeta,rummage around
k'eɂets'ehbò,sway in walking
k'eɂets'ehka,hop; jump
k'eɂets'eht'à,cut up
k'eɂets'ele,moving things around
k'eɂets'etsı̨̀,sniff around; nose around; sneak around
k'eagòt'ò,be scattered around
k'èchı̨ètła,trap
k'echı̨ets'ehk'ah,limp around
k'echǫǫ̀htł'ıı̀,moccasin strings; shoelace
k'ech'àh,slither
k'eda,walk around (one person); go around (one person); go for a walk (one person)
k'èdaà,still more; continue
k'edàehdle,I need to go pee
k'edàts'eetsı̨̀,need to poop
k'edets'eɂà,roll around; toss; turn from side to side
k'edets'eetł'ı̨,dress one's self; put on clothes; costume
k'edlòeda,walk around laughing (one person)
k'èdzoo ehkw'ı,straight across
k'ę̀ę̀,like; according to
k'eeɂo,swish around; move from side to side
k'èèɂǫ̀ǫ̀,more than
k'èèɂǫ̀ǫ̀ dètı̀ı,inflation
k'eechı̨ı̨̀,scraping board for scraping hide
k'eedzeehtsı̨ı̨̀,hide scraper handle
k'eedzeh,hide scraper made of bone
k'ę̀ędzı̀e,saskatoon berry
k'eèhdzǫ,already
k'eèhjǫ,already
k'eehk'ò,be moving around (water bead on hot stove); wobbling
k'eejee,hide scraper made of bone
k'eejeehchı̨ı̨̀,hide scraper handle
k'ę̀ęjı̀e,saskatoon berry
k'eełı,feel around (e.g. like a blind person)
k'eènı̀ı̨la,be scattered around
k'èètłǫ,be enough; reach sufficient numbers
k'èètł'ǫ̀,in vain; to no effect; for nothing
k'eetsı̨ı̨̀,scraping board for scraping hide
k'èets'edıh,lack courage; be incapable
k'eets'etsı̨̀,sniff around; nose around; sneak around
k'eèwe,handling/carrying oblong obj. wood
k'eèweehts'ıh,be blown about
k'èeweèt'ı̨,be humble
k'eèzıa,plane (tool)
k'egògogeeɂı̨ı̨,escort
k'ègok'e,overlapping
k'egoo,roam around (one animal); crawl around (one animal); go around (sickness)
k'egòts'edı,lead by the arm or hand
k'egǫ̀ts'eedı,go around leading by the hand; go around holding hands
k'egòts'eedı,go around leading by the hand; go around holding hands
k'egots'ehɂı̨,guide around (bush; city)
k'egots'ehsah,taking time doing small things; puttering around
k'egots'ehwho,"go around (plural); move around (cars, skidoos, boats)"
k'egòyeeɂı̨,escort
k'èghàanı̀genı̨ı̨zhǫ,they are fully grown
k'èhots'eèɂa,relax; rest; take it easy; take one's time
k'èhoèɂaa dzęę̀,relaxing day; holiday
k'ehokw'o,be happening; encountering
k'ehots'eɂa,behave (good; bad); taking time doing things
k'ehots'eɂaa nàowoò,code of conduct
k'ehots'eeɂa,do; act
k'èhots'eeɂà,agree; give in; surrender
k'èhots'eèɂah,relax; rest; take it easy; take one's time
k'ehots'eehde,travel around (plural)
k'ehots'ehwho,travel; we travel
k'eı̀dlo,pee one's pants
k'eı̀tǫ̀,(bile) come up
k'ekwı̨ts'eèhɂa,ran around in flight
k'ekwı̀ts'eet'ah,turn the head from side to side; shake the head; nod the head
k'ekwogoetło,"squat here and there (bear, berry picking)"
k'ekw'ıts'eego,point around
k'ekw'o,be loose (in a container)
k'elaet'ò,paddle around aimlessly
k'èlı̀ı,path; road
k'èlı̀ı seèhɂı̨ı̨,road grader; snowplow
k'èlı̀ı sıı̀hɂı̨ı̨,road grader; snowplow
k'ełaek'ah,be breezy; wind change direction; blow from different directions
k'ełeghà,club each other
k'ełehxe,slaughter each other
k'ełets'ehɂı̨,guide/lead each other
k'ełeze,rush around (plural things); swarm around
k'ełezhe,rush around (plural things); swarm around
k'emęę̀dǫǫ̀,morning
k'èmbaà nàts'edè,live peacefully (plural)
k'èmbè,red-throated loon; arctic loon
k'èmbèe,red-throated loon; arctic loon
k'enaetse,be washed
k'enats'eeɂà,play checkers
k'enats'eede,wash one's face
k'enats'eèhɂı̨,wait for
k'enats'ehtse,wash
k'enı̀neegwo,think; consider
k'enıts'egwo,think; consider (with all details involved)
k'ereɂo,swish around; move from side to side
k'ereèk'e,grasshopper
k'esaı̨dı̨,be shining on; reflecting the light
k'esı̨eda,walk around singing (one person)
k'eshı̨eda,walk around singing (one person)
k'etaetı̨,waves moving up and down the shore or against the boat
k'etaetło,walk in water (one person)
k'etaı̀dzı̨,be baptised (plural)
k'ètaı̀dzǫ,be baptised (singular)
k'etèts'eetı̨,walk with a cane
k'etı̨mǫets'eda,run around (one person or animal)
k'etı̨mǫets'edè,run around (plural people or animals)
k'etłàts'eekw'o,stagger around
k'ètł'à,the end of (lake)
k'etł'àdeewı̀,stagger around (one person)
k'etł'ò,slosh around; jingle (plural objects); move about randomly (plural objects)
k'ètł'ǫ̀,in vain; for nothing; without success; to no purpose
k'etsàeɂò,swim around like a beaver (?)
k'etsàedı̀,flying (flock of birds)
k'etseetło,crying and walking
k'ètsı̨ètła,trap
k'etsı̨ets'ehk'ah,limp around
k'ètsǫǫ̀ts'ı̀ı̀ɂà,"bite into (nuts, hard candies)"
k'ets'eɂa,carry around (chunky object)
k'ets'eɂa,carry (small item in hand); bring (message)
k'ets'eɂò,swim (plural); boat around
k'ets'ebe,swim (one person)
k'ets'ebe,swim around (one or two people or animals)
k'ets'ebee k'è,swimming pool
k'ets'ech'ı̀,crawl
k'ets'ech'ı̀,crawl around
k'ets'edè,walk (plural)
k'ets'edè,walk around (people or caribou); go around (people); fly around (plural objects)
k'èts'ede,screw in
k'èts'edı̀,keep; care for
k'ets'edlı,pull around; drag around
k'ets'edzo,skate; ski
k'ets'edzoh,slide; skate; ski
k'ets'edzoo k'è,skating rink; arena
k'ets'eeɂà,roll around; toss; turn from side to side
k'ets'eedı,work (with the hands); do things (with the hands)
k'ets'eedı,feel around (e.g. like a blind person)
k'ets'eedzı,criticize
k'ets'eehdè,throw around (plural objects)
k'ets'eehk'a,throw around (single object)
k'ets'eehk'ǫ̀,burn (something)
k'ets'eehkwa,whip (dogs)
k'ets'eeht'à,cut
k'ets'eet'à,cut up
k'ets'eet'ı̨̀,look around; see; be able to see
k'ets'eet'ı̨̀,look (for something/scanning the area)
k'ets'eezo,chase around; drive a dogteam along
k'èts'eezǫ,know; have knowledge
k'ets'eezho,chase around; drive a dogteam along
k'ets'ege,carry on the back; pack around
k'ets'ehɂàh,send on errands; order around
k'ets'ehɂı̨,guide; lead
k'ets'ehɂǫą,brooch
k'ets'ehchı,carry around (cloth object)
k'ets'ehchıh,have (cloth object); carry around (cloth object)
k'ets'ehdè,throw around (plural)
k'ets'ehdı̀,place hands on
k'ets'ehdıı̀,push (cart)
k'ets'ehkah,hop
k'ets'ehsò,pull along; pull around
k'ets'ehte,carry around (animate object)
k'ets'ehtı̨,carry around (containerful)
k'ets'ehtı̨,carry around (long object)
k'ets'eht'ah,sweep with a birdwing; fan a fire with a large flat object
k'ets'ehtł'ı̨,dress (someone)
k'ets'ehtsıh,have (cloth object); carry around (cloth object)
k'ets'ehxà,push around (animate object); shove (animate object); shake (animate object)
k'ets'ekò,drive; ride
k'ets'ekò,drive around; slide around
k'ets'ekwı,poke around
k'ets'ele,carry around (plural objects)
k'ets'ele,carry around (plural objects); set (traps)
k'ets'embe,swim around (one or two people or animals)
k'ets'ereɂa,spy on (old word)
k'ets'etı̨,carry around (rigid object)
k'ets'et'à,walk around (two people); go around (two people)
k'ets'et'ah,fly around
k'ets'et'ò,paddle around; row around
k'ets'et'òh,paddle around; row around
k'èts'etła,go after (one person); follow (one person)
k'ets'etło,walk around (one person)
k'ets'ets'ı̀,crawl
k'ets'ets'ı̀,crawl around
k'ets'ets'o,complain
k'ets'ewe,turn around by hand to heat; heat by turning around
k'ets'ıı̀dè,stop at a place (plural); pass through (plural)
k'ets'ıı̀dle,incontinence
k'eweehts'ı,be blown around (cloth)
k'èxa,in payment for; in exchange for
k'èxa,because; as a consequence
k'exets'eechı,pack around (single object)
k'exets'eetsı,pack around (single object)
wek'eyahts'ehtı,read
k'eyı̨ı̀dla,break (it)
k'eze,be carried around (plural objects); be transported (plural objects)
k'ezhe,be carried around (plural objects); be transported (plural objects)
k'èzhe,put in place; implement
k'e-,going around
k'ı,birch; birchbark
k'ı̨̀,arrow
k'ı daech'ıı,strip of birch bark
k'ı daedlàa,strip of birch bark
k'ı daets'ıı,strip of birch bark
k'ı̨̀ lawhı̨ wheɂǫǫ,arrowhead
k'ı tł'ehtè,fungus on dried birch; woody substance on dried birch
k'ı wet'ıı̀,birch bark
k'ı̨ąhkw'à,dried birchbark
k'ı̨ąjı̀e,saskatoon berry
k'ı̨ęh,aspen
k'ıelà,birch canoe
k'ıı̀tsǫ̀h,be rusted; be rusty
k'ıkw'à,birch bark basket; birch bark plate
k'ı̨̀kw'ı̨ı̨̀,arrowhead
k'ılaa,birch bud
k'ı̨̀lageè,notch at arrow end
k'ılareh,birch bud
k'ı̀mbèe,red-throated loon; Arctic loon
k'ıtı̀,syrup; birch sap
k'ıtǫ,birch bark basket; birch bark cooking pot
k'ı̨̀t'aà,feather for arrow
k'ıtsı̀,red bark of birch
K'ıts'ı Ehda,White Beach Point
k'ıwà,dried birchbark
k'ıwı̀ı,cluster of birch trees
k'ızoò,large babiche bag
k'ı̀zhe,put in place; implement
k'ǫą,new; newly
k'ǫ̀ą,just now
k'ǫądzàa,the groom; newly married man
k'ǫąt'a,just now; recently
k'ǫ̀ąt'aa,just now; now
k'òchı̨ı̨̀,willow branch
k'òdaa,silver willow
k'òdare,silver willow
k'oèhchı̀ı,kerchief; head scarf; handkerchief; tie
k'oèhtsı̀ı,kerchief; head scarf; handkerchief; tie
k'oh,cloud
k'oh ekèı̨̀hɂeh,scattered clouds
k'oh łǫ,be cloudy
k'ohch'ıı̀,rain clouds; dark clouds
k'ohgwı̀a,scattered bits of clouds
k'ohts'ıı̀,rain clouds; dark clouds
k'òkw'ı̨̀ą,willow whip
k'òlaa,pussy willow
k'òlachoò,pussy willow fluff
k'òlatsoò,pussy willow fluff
k'òmǫą,butterfly
k'omǫǫ̀dǫǫ̀,morning
k'omǫǫ̀dǫǫ̀ shèts'ezhee,breakfast; cereal
k'omǫǫ̀dǫǫ̀ weghǫ sèts'ezee,breakfast; cereal
k'omǫǫ̀dǫǫ̀ weghǫ shèts'ezhee,breakfast; cereal
k'òmǫtsoa,moth
k'ǫ̀mbàa,sleeve
k'ǫ̀mbàa dąą,cuffs
k'ǫ̀mbàa nedèe,long sleeve
k'ona,finally
k'òo,Expression for the sound of one's stomach growling
k'òò,willow
k'òò dèhdlı̨ı̨,green willow
K'òò Tı̨lıı̀,street in Rae
k'oòchıa,handkerchief
k'oòhchı̀ı,head scarf; kerchief; handkerchief; tie
k'oòhtsı̀ı,head scarf; kerchief; handkerchief; tie
k'oònı̀,very; so very
k'ǫǫnı̀,very; really; ever
K'ǫǫnı̀ etaàda!,Ever cute!
K'ǫǫnı̀!,Ever!
K'òòta Nı̨ı̨lı̨ı̨̀,Frank Channel (old name)
K'òòtaı̨lı̨ı̨,Fort Liard
K'òòtı̀ache Tł'à,Drybone Bay
K'òòtı̀atse Tł'à,Drybone Bay
K'òòtı̀deèche,Drybone Bay
k'ǫǫ̀t'a,only now; just now; only then; recently
k'òòt'ıı̀,willow bark
k'òòt'ıı̀ mı̨̀,willow bark net
k'ǫǫ̀ts'eedlı,mend
k'ǫǫ̀ts'eetł'ı̨,mend
k'ǫǫ̀ts'eetł'ı̨,mend by weaving; darn
k'oòts'ehchıı,necktie
k'oòts'ehtsıı,necktie
k'oòts'o,be pointed; it is pointed
k'otǫǫ̀,within the clouds
k'ǫt'ıı,hairy water worm
k'òtsı̨ı̨̀,willow branch
kwah,carrot
kwe,stone; rock
kwe,"before, in time"
kwe degaı,tombstone
kwe degoo,quartz
kwe degoo sǫǫ̀mbaà,diamond mineral
kwe dek'oo,red rock
kwe dèk'ǫ̀ǫ,coal (burns with a blue flame)
kwe dezǫǫ,obsidian; black rock
kwe dǫkw'ǫǫ̀ k'e wheɂǫǫ,tombstone
Kwe Ehda,Rocky Point
kwe gokwı̨ı̨̀,stone axe
kwe hàɂaa,minerals
kwe hàetaa dǫǫ̀,prospector
kwe hàgeetaa,prospecting
kwe naak'ǫ̀ǫ,smelting
kwe naak'ǫ̀ǫ kǫ̀,smelter
kwe naak'ǫ̀ǫ k'è,smelter
kwe nàede,grind rock
kwe nàedee kǫ̀,mill (building)
kwe naehwhı̀ı,smelting
kwe naehwhı̀ı,lava
kwe naek'èe,blasting
kwe nageehk'èe,blasting
kwe satsǫ̀,cast iron stove
kwe taezhı̀ı,crusher
Kwealǫǫ sǫǫ̀mbak'è,abandoned mine between Marian Lake and Ray Rock
Kwebè,place name
kwechàa,thick soup; stew; porridge; rice stew
kwechı̨̀,rock tripe for medicine or tea; black fungus growing on rocks; medicine for a sore stomach
Kwecho Dıı̀,Mirage Island
kwedeè,full house in cards
kwedegoo,diamond
kwedzèè,tar
Kwedzeèht'àa,place named after rock in the Whatì area
kwedzèh,tar
Kwedzèhkǫ̀,Fort Wrigley
kweeghı̨̀ą,glacial erratics
kwèelǫ,"best place to sit in the tepee, at the head end; middle spot in a circular teepee, men's place"
kweèt'ı̨ı̨̀,white person; English-speaking person
kwegee gonı̀ı̨tǫ̀ǫ,valley
kwegok'aà,whetstone
kwegok'aàcho,grindstone
kwegok'aàtso,grindstone
kwegota nı̨ı̨lı̨,rapids
Kweghaı̨lı̨,James Lakes River
kweghı̨̀ą,pebble; round stone
kwegwıı̀,rock fragments; gravel
kwegwòo,gravel; rocks
kwehtǫ,cast iron pot; clay jug
Kweı̨kaà sǫǫ̀mbak'è,Beaverlodge Lake mine
kwekàa,large flat rock; rock outcrop
kwekàa sı̀a nı̨ı̨ɂàa,extended rock ridge
kwekàa shı̀a nı̨ı̨ɂàa,extended rock ridge
kwekàa tıa,puddle in rock crevice
kwekàach'ıı̀,craggy rock; rock crevices
kwekàagee,crack in rock; between the rock crevice
Kwekààtsoa,Cameron River
kwekàats'ıı̀,craggy rock; rock crevices
kwekǫ̀,rockhouse; fortress; castle
kwek'aà,quartz
kwek'àa,snowbird
kwek'àà,sharp edges of rocks; crevice of rocks
kwekw'àtsè,cast iron frying pan
kwelè,snuff
kwełè,cement
kwełèh ts'ehtı̀ı,cement
kwenàèdı̀ıłı̨ı̨,uranium
kwenàek'ǫ̀ǫ,cement
kwenàek'ǫ̀ǫ tı̨lıı̀,paved road
kwenàts'ehkà / kwenàts'ehk'a / kwenats'ek'à,strike rock (spark?)
kwesǫǫ̀mbaà,valued rock; precious mineral
kweta nı̨ı̨lı̨,rapids
kwetè,stone scraper
Kwetı̨ı̨ɂàa,Ray Rock
kwet'ı̨ı̨̀,white person; English-speaking person
kwet'ı̨ı̨̀,people of English ancestry; people of the rock or cave
kwet'ı̨̀ı̨ enı̨htł'è t'à ets'eetł'èe,Roman writing system
kwet'ı̨̀ı̨ k'ę̀ę̀,English way; English custom
kwet'ı̨ı̨̀ nàowoò,English custom; European culture
kwet'ı̨̀ı̨ ts'òò,sleeping bag
kwet'ı̨̀ı̨ yahtıı̀,preacher; minister
Kwet'ı̨ı̨̀ Yatıı̀,English
kwet'ı̨̀ı̨ yatıı̀,English language
kwet'ǫą,shale
Kwet'ootı̀,Lac Grandin
kwetsı̨̀,rock tripe for medicine or tea; black fungus growing on rocks; medicine for a sore stomach
Kwetso Dıı̀,Mirage Island
Kwets'ah Tı̀,Mazenod Lake
kwewa,pellets; gravel
kwewà,granite; basalt
kwewaà,pebbles; pellets; gravel; leads for guns
kwewaà kwık'ı̀ı̀,shotgun; pellet gun
kweyı̨̀ą,pebble; round stone
kweyı̀ı,cave
kweyı̀ı eɂǫǫ,den; cave
kweyı̀ı goèɂàa,tunnel in rock
kweyı̀ı gǫ̀ǫɂàa,cave
Kweyı̨̀ı̨ Tı̀,Kwejinne Lake
kwı̀ɂah,pillow
kwı̀ɂawò,pillowcase
kwı̨ehsa,run off; escape
kwı̀ezı̀ı,sucker (fish)
kwı̀ezhı̀ı,sucker (fish)
kwı̨geèɂa,they (dual) escaped
kwı̨geèhde,they (plural) escaped
kwı̀gha,hair
kwı̀gha degoo,gray hair
kwı̀gha ehts'òa,curly hair
kwı̀gha tanı nàgoı̨ɂàh,parting in the hair
kwı̀ghaa,wig
kwı̀ghaechı̨ı̨̀,hair root
kwı̀ghaetsı̨ı̨̀,hair root
kwı̀htsı̨ı̨̀,base of the skull
kwı̨ı̨̀,fence; dog pen
kwıı̀chı̨goehwho,(logs) are put into the fire
kwıı̀cho,gun shell; bullet
kwıı̀cho deyı̀ıts'ewa,load a gun
kwıı̀cho deyı̀ıts'ewa,load shells into (a gun)
kwıı̀cho edeehk'èe,missile
kwıı̀cho ek'èts'ewa,load a gun
kwıı̀cho k'è,gunshot wound; bullet hole
kwıı̀cho nechàa,missile
kwıı̀cho tł'ehwhò,bullet bag
kwıı̀cho xàts'ewa,unload shells out of (a gun)
kwı̨htsıà,soft top layer of snow
kwıı̀chowè,ammunition belt
kwıı̀chowò,ammunition belt
kwıı̀hdlı̀a,slingshot
kwıı̀hdlı̀achı̨ı̨̀,slingshot handle
kwıı̀hdlı̀atsı̨ı̨̀,slingshot handle
kwıı̀kǫ̀ǫ̀,dynamite; explosives
kwıı̀kǫ̀ǫ̀,gunpowder
kwıı̀k'ı̀ı,gun
kwıı̀tso,gun shell; bullet
kwıı̀tso deyı̀ıts'ewa,load a gun
kwıı̀tso edeehk'èe,missile
kwıı̀tso ek'èts'ewa,load a gun
kwıı̀tso k'è,gunshot wound; bullet hole
kwıı̀tso netsàa,missile
kwıı̀tso tł'ehwhò,bullet bag
kwıı̀tso xàts'ewa,unload shells out of (a gun)
kwıı̀tsoa,shell for .22 gun
kwıı̀tsowò,ammunition belt
kwıı̀ts'eeɂah,put in fire (cloth object)
kwıı̀ts'eechı,put in fire (chunky object)
kwı̨ı̨̀ts'eedè,flee (plural); escape (plural)
kwıı̀ts'eedı,give to fire (food item)
kwıı̀ts'eehdè,throw into the fire (plural)
kwıı̀ts'eehk'a,throw into the fire
kwıı̀ts'eehxe,put in the fire (heavy bag)
kwıı̀ts'eeka,take to the fire (plateful)
kwıı̀ts'eekà,slap into the fire
kwıı̀ts'eele,put in fire (plural objects)
kwıı̀ts'eetà,step in fire; step in ashes
kwıı̀ts'eetı̨,put in fire (rigid object)
kwıı̀ts'eetsı,put in fire (chunky object)
kwıı̀ts'eewa,put in fire (many things)
kwıı̀ts'ehchıh,put in fire (cloth object)
kwıı̀ts'ehtè,put in fire (animate object)
kwıı̀ts'ehtsı,push into the fire
kwıı̀ts'ehtsıh,put in fire (cloth object)
kwıı̀ts'ekw'ı,fall into the fire (plural)
kwık'ı̀aht'àa,double-barrel muzzle loader; split-barrel gun
kwık'ı̀cho ??,gun shell
kwık'ı̀ı,gun; rifle
kwık'ı̀ı aht'aà,double-barrel muzzle loader; split-barrel gun
kwık'ı̀ı edèɂa,aim a gun
kwık'ı̀ı nechàa,shotgun
kwık'ı̀ı nek'ǫ̀ą,hand-gun; pistol
kwık'ı̀ı netsàa,shotgun
kwık'ı̀ı sıı̀ts'ı̨ı̨hwhǫ,look after a gun
kwık'ı̀ı tł'ehwhò,shell bag; cartridge bag
kwık'ı̀ıchı̨ı̨̀,gunstock
kwık'ı̀ık'ea,single barrel muzzle loader
kwık'ı̀ık'èa,muzzle-loader
kwık'ı̀ık'ǫ̀,gun case
kwık'ı̀ılà,muzzle loader
kwık'ı̀ıtłeè wek'e ats'ehɂı̨,oil a gun
kwık'ı̀ıtsı̨ı̨̀,gunstock
kwık'ı̀ıweè,gun barrel
kwık'ı̀ıweè ı̨łè,single-barrel gun
kwık'ı̀ıweè nàke,double-barrel gun
kwık'ı̀ıwò,gun case
kwık'ı̀ızeè,trigger
Kwını̨hts'ıı̀ Ts'ǫǫ̀hk'e,Eastern Arctic
kwı̀te,loche
kwı̀tets'eehdè,throw over the head (plural); throw backwards (plural)
kwı̀t'a,tumpline; head strap
kwı̀t'a goı̨tłoa,bald head
kwı̀t'a laanı̀ kwe wek'e ɂets'aatł'òo,conveyor belt
kwı̀t'ıı,headband
kwı̀tłe,hair tonic
kwı̀ts'ehɂǫ,lay one's head down on
kwı̀ts'ehchı,wear on head (a scarf)
kwı̀ts'ehchıh,wear on head (cloth object)
kwı̀ts'ehtsıh,wear on head (cloth object)
kwı̀ts'ı̀ı,comb
kwı̀whehɂǫ,lay the head
kwo degoocho,merganser
kwo degootso,merganser
kwǫą,diaper
kwǫą t'à gokwǫ̀ dek'o at'ı̨ı̨,diaper rash
kwoh,coot
kwǫ̀ǫyaàts'ehɂı̨,beat up regularly
kwore dlòreht'ǫ,flying squirrel
kw'à datłeè,dish soap
kw'à dehsǫ̀ǫ,dish towel
kw'à dehshǫ̀ǫ,dishtowel
kw'à dǫhsǫ̀ǫ,dishtowel
kw'à dǫhshǫ̀ǫ,dishtowel
kw'à ehts'ǫǫ̀ ehdànı̨̀ı̨laa,roaster
kw'àa,small plate
kw'àchè,skillet; frying pan
kw'àchı̨ı̨̀,handle of pan
kw'àcho,tub; roaster
kw'àdzeè,dirty dishes
kw'adzı̀e,moss berries
kw'agoa,twine used to mend fishnets
kw'ah,moss; diaper moss
kw'àh,dish; plate; basket; small container
kw'àh dats'elee,dish shelf
kw'ahk'ıı̀,moss diaper
kw'ahtı kǫ̀,prison; jail
kw'ahtıa,band councillor
kw'ahtıdeè,chief
kw'ahtıdeè ı̨lèe,ex-chief; former chief
kw'ahtıdeè t'ǫ̀ǫ̀ whedaa,subchief
kw'ahtıdeèzǫą,ex-chief; former chief
kw'ahtıdeèzhǫą,ex-chief; former chief
kw'ahtıı,policeman; chief
kw'ahtıı k'edaedıı dǫǫ̀,crown prosecutor
kw'ahtıı k'edaedıı wets'ǫ̀ hoèlı̨ı̨,crown's case
kw'ahtıı ts'àdı̀ı,by-law officer; prosecutor
kw'àhts'oa,cookie sheet
kw'ahwò,diaper-moss bag (for collecting and storing moss)
kw'ajı̀e,moss berries
kw'àkàa,plate; flat dish
kw'àk'è,cupboard
kw'atı̀,muskeg water
kw'atıılèa,rations; provisions
kw'àtǫǫ̀,grub box; cooler
kw'àtǫǫ̀ whek'òo,cooler
kw'àt'èe,skillet; frying pan
kw'àtł'àa,saucer; plate; satellite dish
kw'àtsè,skillet; frying pan
kw'àtsè sı̀ghaı̨hzǫǫ,medium sized pan
kw'àtsèa,small frying pan
kw'àtsı̨ı̨̀,handle of pan
kw'àtso,tub; roaster
kw'àtsoa,dishpan
kw'àwò,table cloth
kw'àyı̨̀ą,bowl
kw'è,sinew; sinew thread; thread
kw'èhkwǫ̀,tenderloin
kw'èmbè,red-throated loon
kw'èmbè,red-throated loon; arctic loon
kw'èmbèe,red-throated loon; arctic loon
kw'ı kàgoı̨hdoo k'è,mosquito bite
kw'ı nàèdıı̀,mosquito spray
kw'ıahnǫ,bee
kw'ıahnǫ dekwoo,bumblebee
kw'ıahnǫ wechè goèch'oo,wasp
kw'ıahnǫ wetsè goèts'oo,wasp
kw'ıahnǫt'oh,beehive; bee's nest
kw'ıh,mosquito
kw'ıh k'ełezhee,swarm of mosquitoes
kw'ıh nàèdı dèk'ǫ̀ǫ,mosquito coil
kw'ı̨hɂeh,shirt; blouse
kw'ı̨hɂet'àa,T-shirt; undershirt
kw'ıhchı̨ı̨̀,branch
kw'ıhdàk'è,mosquito bite
kw'ı̨hmbèe,red-throated loon
kw'ıhtsı̨ı̨̀,branch
kw'ıhwò,mosquito net
kw'ı̨ı̨̀,arrowhead
kw'ıtłeè,mosquito spray; mosquito oil
kw'ǫhɂeh,shirt; blouse
kw'ǫhɂeht'àa,T-shirt; undershirt
kw'ǫǫ̀,ice crust of overflow on land; glacier
kw'àtsè netsàa,large pan
la,work; job
là,Expression of surprise
la gotł'aà etłee,manage the work
la gha k'àowo,program manager
la t'à sǫǫ̀mba ets'aetł'òo,revolving funds
la wek'anahoetaa,strategic review
làade,seem to become like
làadı,seem to talk like
làagǫ̀ht'e,(situation) seem to be like
laàgǫǫhwha,be about that distance
làahǫ̀ht'e,(situation) seem to be like
laànı̀,like; kind of like; seemingly
làanı̀,like; kind of like; seemingly
làanı̀ wègaat'ı̨,appear like; look as though
làanıı,things like this
làanı̀-le,not like (something)
làat'ı̨,be acting like something
làat'ı̨,behaving like; acting like; seeming like
laàt'ı̨,behaving like; acting like; seeming like
laàtłǫ,be that amount; similar amount
làats'ı̨ı̨wǫ,think like that
làbıı̀,beer
làbıı̀kǫ̀,bar (place)
ladà,table; desk
ladà k'e nı̀ı̀chı̀,tabled
ladàwò,tablecloth
lade,behave like a; go like; become like
ladets'eele,make oneself to be like
ladets'eewǫ,consider oneself to be like
ladı,he speaks like
ladlı̀,key
ladlı̀ dèhnı̀ı̨hɂǫǫ,padlock
ladzà / lajà,become like; did an action like
ladzè,box; case lot; wooden box; trunk
ladzèa lanı̀,square
ladzèa nedèe,rectangle
ladzıh,glove
lagè,box; case lot; wooden box; trunk
lagèa,minute
lagode,happen like; take place like
lagodı,sound like
lagodle,be treated like; we are made to be like
lagòdzà / lagòjà,it happened like
lagǫ̀ht'e,the situation is like; setting is like
lahǫ̀t'e,be like
lahòt'ı̨ı̨,that kind; that brand; this kind of
lahòt'ı̨-le,it is not that kind; not the brand; not like
lahsıı̀,silk embroidery; embroidery thread
lahsıı̀ t'à nàts'eelı,embroider
lahwhı̨,fish spear; spear; sword
laı̨hcho,be that big; be as big as; big like a
lajè,box; case lot; wooden box; trunk
lajıh,glove
lak'èdı̀ı,apron
lak'edı̀ı,apron
lamè,Mass
lamè goht'ǫǫ̀,vestments
lamè nàts'eehdı̀,pay for mass
lamèa,low mass
lamèhdeè,high mass
lamèhkǫ̀,chapel; church
lamèhk'è,altar
lamǫ̀,ring
lamǫ̀ǫ,ring
lanı̀ / laànı̀,acts like; behaves like; seems like
lanı̨htł'è,social insurance number
lanıı,this or that kind; like these; those kind of; these kind
laǫ̀t'e,be like
laòt'ı̨ı̨,that kind; that brand; this kind of
lats'eèɂǫǫ,thimble
lats'ehɂı̨,treat (him/it) like/as
lats'ele,treat (them) like; make (him/it) like
lats'et'ı̨,behave like; act like
lats'et'ı̨̀,become like; turn into; develop into; grow to be (repeated)
lats'ıt'è,wish to be like; let us be like
lawą̀,oatmeal; porridge
lemı̀,thousand
lemı̀ıyǫǫ̀,million
lemı̀ızhǫǫ̀,million
lendı̀,taste; smell
lı̀,Expression to emphasize uncertainty or hoping; may it be
lı̀,Expression to emphasize uncertainty or hoping; may it be!
lıbà,sock; stockings
lıbà nedèe,stockings
lı̀baà,barrel
lı̀balà,canvas
lı̀balà elà,canvas boat
lı̀balàɂeh,parka
lı̀balàɂeh ka,parka cover material
lı̀balàɂeh k'e whelaa,parka trim; rickrack
lı̀balàkè,running shoes
lı̀barı̀,barrel
lıbò,cup
lıbǫ̀,ribbon
lıbò daèchaa,goblet; chalice
lıbò daeka,giving a toast
lıbò daètsaa,goblet; chalice
lıbòchı̨ı̨̀,cup handle
lıbòtsı̨ı̨̀,cup handle
lıdı̀,tea
lıdı̀ ǫhchı̀a,teabag for camping
lıdı̀ ǫhtsı̀a,teabag for camping
lıdı̀ tazee,loose tea
lıdı̀ tazhee,loose tea
lıdı̀ tenazèe,loose tea leaves
lıdı̀ tenazhèe,loose tea leaves
lıdı̀ tł'ehwhòa,teabag
lıdı̀ ts'ehtsı̨,make tea
lıdı̀ whekǫ̀ǫ tǫǫ̀,thermos bottle
lıdı̀hgaa,weak tea
lıdı̀hkǫ̀,teahouse (old word); restaurant
lıdı̀htǫ,teapot; teakettle
lıdı̀ıt'ǫ̀,used tea leaves
lıdı̀wò,teabag for camping
lıdı̀zàa,dry loose tea
lıdı̀zhàa,dry loose tea
lıdzè,hearts in cards
lı̀dzıwı̀,galvanized tub; washtub
lıgaà,diamonds in cards
lıgàà,cards
